timestamp,title,seller_name,brand,description,initial_price,final_price,currency,availability,reviews_count,categories,asin,buybox_seller,number_of_sellers,root_bs_rank,answered_questions,domain,images_count,url,video_count,image_url,item_weight,rating,product_dimensions,seller_id,date_first_available,discount,model_number,manufacturer,department,plus_content,upc,video,top_review,variations,delivery,features,format,buybox_prices,parent_asin,input_asin,ingredients,origin_url,bought_past_month,is_available,root_bs_category,bs_category,bs_rank,badge,subcategory_rank,amazon_choice,images,product_details,prices_breakdown,country_of_origin
2024-10-20 00:00:00.000,Asus ROG Strix Scar 15,Official Asus ROG Store,Asus ROG,The Asus ROG Strix Scar 15 offers top-notch performance and premium design.,1320.54,1278.85,USD,Out of Stock,3105,"[""Electronics"", ""PC & Hardware"", ""Laptop"", ""Gaming Laptop""]",FDFJ8LOJDR,Asus ROG Official,3,2594,220,amazon.com,6,https://www.amazon.com/dp/4RDO3YPDIN,1,https://m.media-amazon.com/images/I/941389670.jpg,1.09 kg,4.2,34 x 21 x 8 cm,SELLER6292,2025-01-21 00:00:00.000,3%,MOD1236,Asus ROG,Electronics,true,307915673787,true,This product exceeded my expectations!,"[{""asin"": ""1RDPHIY1AQ"", ""name"": ""Strix Scar 15 - Variant""}]","[""Standard Shipping"", ""Express Shipping""]","[""Feature 1"", ""Feature 2"", ""Feature 3""]",Standard,"{""price"": 1278.85, ""currency"": ""USD""}",KW7NWEREZ6,C7X7AO3US6,,https://www.amazon.com/dp/B9BPI0ZHM4,141,false,Electronics,Gaming Laptop,465,Best Seller,457,true,"[""https://m.media-amazon.com/images/I/411477426.jpg"", ""https://m.media-amazon.com/images/I/814555460.jpg""]",Full specifications for Asus ROG Strix Scar 15 available on Amazon.,"{""initial"": 1320.54, ""final"": 1278.85}",Germany
2020-09-14 00:00:00.000,Apple iPhone 15 Pro,Official Apple Store,Apple,The Apple iPhone 15 Pro offers top-notch performance and premium design.,1148.57,1122.77,USD,Limited Stock,4399,"[""Electronics"", ""Mobile Phones""]",TCGPG0SRX2,Apple Official,1,1918,167,amazon.com,3,https://www.amazon.com/dp/Y3YTRV2N2N,5,https://m.media-amazon.com/images/I/718877621.jpg,0.82 kg,3.8,47 x 42 x 6 cm,SELLER5398,2021-04-01 00:00:00.000,2%,MOD3743,Apple,Electronics,false,948586700986,true,This product exceeded my expectations!,"[{""asin"": ""GPWQCS38BR"", ""name"": ""iPhone 15 Pro - Variant""}]","[""Standard Shipping"", ""Express Shipping""]","[""Feature 1"", ""Feature 2"", ""Feature 3""]",Standard,"{""price"": 1122.77, ""currency"": ""USD""}",AYCFY78313,QA1YR9KHTZ,,https://www.amazon.com/dp/KPPDRCNVO1,301,true,Electronics,Mobile Phones,91,,54,true,"[""https://m.media-amazon.com/images/I/757760368.jpg"", ""https://m.media-amazon.com/images/I/939628572.jpg""]",Full specifications for Apple iPhone 15 Pro available on Amazon.,"{""initial"": 1148.57, ""final"": 1122.77}",Germany
2024-04-16 00:00:00.000,MSI Raider GE78,Official MSI Store,MSI,The MSI Raider GE78 offers top-notch performance and premium design.,2130.28,1972.84,USD,Limited Stock,578,"[""Electronics"", ""PC & Hardware"", ""Laptop"", ""Gaming Laptop""]",C1WINFRJ48,MSI Official,3,1473,136,amazon.com,1,https://www.amazon.com/dp/21TLTFCKFS,3,https://m.media-amazon.com/images/I/167874920.jpg,2.98 kg,3.0,35 x 34 x 8 cm,SELLER9071,2025-05-03 00:00:00.000,7%,MOD6927,MSI,Electronics,false,264745032699,false,This product exceeded my expectations!,"[{""asin"": ""DQ128HHQH9"", ""name"": ""Raider GE78 - Variant""}]","[""Standard Shipping"", ""Express Shipping""]","[""Feature 1"", ""Feature 2"", ""Feature 3""]",Standard,"{""price"": 1972.84, ""currency"": ""USD""}",QVXWSI5F8Z,IZK1QYGYLW,,https://www.amazon.com/dp/3UNRBJWWNX,433,true,Electronics,Gaming Laptop,773,Best Seller,300,false,"[""https://m.media-amazon.com/images/I/420528971.jpg"", ""https://m.media-amazon.com/images/I/782753092.jpg"", ""https://m.media-amazon.com/images/I/733342031.jpg""]",Full specifications for MSI Raider GE78 available on Amazon.,"{""initial"": 2130.28, ""final"": 1972.84}",China
2020-06-23 00:00:00.000,Nintendo Nintendo Switch,Official Nintendo Store,Nintendo,The Nintendo Nintendo Switch offers top-notch performance and premium design.,333.23,301.76,USD,Out of Stock,1635,"[""Electronics"", ""Gaming Consoles""]",M6BQXPCZ66,Nintendo Official,2,2654,405,amazon.com,9,https://www.amazon.com/dp/Q42NMM56O1,0,https://m.media-amazon.com/images/I/398455204.jpg,2.73 kg,3.1,35 x 14 x 16 cm,SELLER4368,2024-02-14 00:00:00.000,9%,MOD2725,Nintendo,Electronics,true,886740783791,true,This product exceeded my expectations!,"[{""asin"": ""D4TMTOG4X4"", ""name"": ""Nintendo Switch - Variant""}]","[""Standard Shipping"", ""Express Shipping""]","[""Feature 1"", ""Feature 2"", ""Feature 3""]",Standard,"{""price"": 301.76, ""currency"": ""USD""}",YUJDJKQ7K5,YA37N71GPE,,https://www.amazon.com/dp/BX0O1RUFHT,492,true,Electronics,Gaming Consoles,984,Best Seller,107,false,"[""https://m.media-amazon.com/images/I/842871365.jpg"", ""https://m.media-amazon.com/images/I/640151765.jpg"", ""https://m.media-amazon.com/images/I/480352703.jpg""]",Full specifications for Nintendo Nintendo Switch available on Amazon.,"{""initial"": 333.23, ""final"": 301.76}",South Korea
2022-09-01 00:00:00.000,Philips Airfryer XXL,Official Philips Store,Philips,The Philips Airfryer XXL offers top-notch performance and premium design.,143.39,139.62,USD,Out of Stock,1804,"[""Home & Kitchen"", ""Appliances""]",38S0045BY5,Philips Official,3,1282,171,amazon.com,10,https://www.amazon.com/dp/92QVVOJJW6,4,https://m.media-amazon.com/images/I/503675607.jpg,2.59 kg,4.9,11 x 50 x 19 cm,SELLER1667,2025-06-03 00:00:00.000,2%,MOD3591,Philips,Home & Kitchen,true,895399017921,true,This product exceeded my expectations!,"[{""asin"": ""VYO30ZAF7P"", ""name"": ""Airfryer XXL - Variant""}]","[""Standard Shipping"", ""Express Shipping""]","[""Feature 1"", ""Feature 2"", ""Feature 3""]",Standard,"{""price"": 139.62, ""currency"": ""USD""}",ZN8JMY2DOQ,S1NAVILJAU,,https://www.amazon.com/dp/1GTK1HT0G4,400,false,Home & Kitchen,Appliances,912,,411,true,"[""https://m.media-amazon.com/images/I/131759362.jpg"", ""https://m.media-amazon.com/images/I/856191798.jpg""]",Full specifications for Philips Airfryer XXL available on Amazon.,"{""initial"": 143.39, ""final"": 139.62}",Japan
2020-12-10 00:00:00.000,Dell XPS 13,Official Dell Store,Dell,The Dell XPS 13 offers top-notch performance and premium design.,1848.57,1769.28,USD,Out of Stock,1969,"[""Electronics"", ""PC & Hardware"", ""Laptop""]",JD6U5W37MI,Dell Official,4,474,271,amazon.com,10,https://www.amazon.com/dp/TQMS2JLZ2B,5,https://m.media-amazon.com/images/I/816455845.jpg,2.97 kg,4.2,39 x 19 x 7 cm,SELLER3231,2019-11-22 00:00:00.000,4%,MOD8403,Dell,Electronics,true,474788946881,true,This product exceeded my expectations!,"[{""asin"": ""HKOGXAD942"", ""name"": ""XPS 13 - Variant""}]","[""Standard Shipping"", ""Express Shipping""]","[""Feature 1"", ""Feature 2"", ""Feature 3""]",Standard,"{""price"": 1769.28, ""currency"": ""USD""}",6E97A86HUS,KF74P1VW8T,,https://www.amazon.com/dp/DXSB1Y4IVL,176,false,Electronics,Laptop,986,Best Seller,76,false,"[""https://m.media-amazon.com/images/I/210065612.jpg"", ""https://m.media-amazon.com/images/I/685003735.jpg""]",Full specifications for Dell XPS 13 available on Amazon.,"{""initial"": 1848.57, ""final"": 1769.28}",China
2019-10-05 00:00:00.000,Seagate Barracuda HDD,Official Seagate Store,Seagate,The Seagate Barracuda HDD offers top-notch performance and premium design.,61.73,57.36,USD,Limited Stock,4155,"[""Electronics"", ""Storage Devices""]",QGK5UKSXSL,Seagate Official,2,261,16,amazon.com,4,https://www.amazon.com/dp/6ATCHA8ZUR,5,https://m.media-amazon.com/images/I/508138387.jpg,1.29 kg,3.4,16 x 33 x 12 cm,SELLER1646,2022-12-04 00:00:00.000,7%,MOD9899,Seagate,Electronics,true,486123387230,false,This product exceeded my expectations!,"[{""asin"": ""UH100XGK0S"", ""name"": ""Barracuda HDD - Variant""}]","[""Standard Shipping"", ""Express Shipping""]","[""Feature 1"", ""Feature 2"", ""Feature 3""]",Standard,"{""price"": 57.36, ""currency"": ""USD""}",GWZMI3EH1H,FFTG1WFXXY,,https://www.amazon.com/dp/W457GUYR5A,485,true,Electronics,Storage Devices,842,Best Seller,53,true,"[""https://m.media-amazon.com/images/I/824589834.jpg"", ""https://m.media-amazon.com/images/I/155467569.jpg""]",Full specifications for Seagate Barracuda HDD available on Amazon.,"{""initial"": 61.73, ""final"": 57.36}",South Korea
2025-07-12 00:00:00.000,Sony PlayStation 5 Digital Edition,Official Sony Store,Sony,The Sony PlayStation 5 Digital Edition offers top-notch performance and premium design.,583.42,526.72,USD,Out of Stock,372,"[""Electronics"", ""Gaming Consoles""]",V0PJTFFTEB,Sony Official,5,1197,214,amazon.com,6,https://www.amazon.com/dp/X9NPFZ5HPF,4,https://m.media-amazon.com/images/I/637349063.jpg,0.75 kg,3.5,31 x 16 x 12 cm,SELLER1158,2020-01-02 00:00:00.000,9%,MOD6603,Sony,Electronics,false,594203903575,false,This product exceeded my expectations!,"[{""asin"": ""KTO4YI3B9G"", ""name"": ""PlayStation 5 Digital Edition - Variant""}]","[""Standard Shipping"", ""Express Shipping""]","[""Feature 1"", ""Feature 2"", ""Feature 3""]",Standard,"{""price"": 526.72, ""currency"": ""USD""}",68TIUVTJ6D,KAHF3K9I90,,https://www.amazon.com/dp/4YEJJLQCB3,319,true,Electronics,Gaming Consoles,872,Best Seller,180,true,"[""https://m.media-amazon.com/images/I/898265682.jpg"", ""https://m.media-amazon.com/images/I/312952494.jpg"", ""https://m.media-amazon.com/images/I/821374653.jpg""]",Full specifications for Sony PlayStation 5 Digital Edition available on Amazon.,"{""initial"": 583.42, ""final"": 526.72}",South Korea
2025-05-12 00:00:00.000,Asus ROG Zephyrus G14,Official Asus ROG Store,Asus ROG,The Asus ROG Zephyrus G14 offers top-notch performance and premium design.,1523.16,1444.46,USD,In Stock,3903,"[""Electronics"", ""PC & Hardware"", ""Laptop"", ""Gaming Laptop""]",H7KDIBZPXF,Asus ROG Official,3,4108,498,amazon.com,3,https://www.amazon.com/dp/L7N7J4VEEF,2,https://m.media-amazon.com/images/I/144924888.jpg,2.0 kg,3.3,15 x 13 x 16 cm,SELLER1754,2019-06-02 00:00:00.000,5%,MOD1204,Asus ROG,Electronics,false,566527000909,false,This product exceeded my expectations!,"[{""asin"": ""FP1JWYDJPC"", ""name"": ""Zephyrus G14 - Variant""}]","[""Standard Shipping"", ""Express Shipping""]","[""Feature 1"", ""Feature 2"", ""Feature 3""]",Standard,"{""price"": 1444.46, ""currency"": ""USD""}",FAFQC18CET,RJ3VZBPL6A,,https://www.amazon.com/dp/KCLIDSRGB9,5,false,Electronics,Gaming Laptop,701,,328,true,"[""https://m.media-amazon.com/images/I/560833874.jpg"", ""https://m.media-amazon.com/images/I/281060937.jpg"", ""https://m.media-amazon.com/images/I/223245797.jpg""]",Full specifications for Asus ROG Zephyrus G14 available on Amazon.,"{""initial"": 1523.16, ""final"": 1444.46}",Germany
2019-07-23 00:00:00.000,Dell XPS 13,Official Dell Store,Dell,The Dell XPS 13 offers top-notch performance and premium design.,1529.17,1359.23,USD,Limited Stock,2874,"[""Electronics"", ""PC & Hardware"", ""Laptop""]",ZFNQKHO51T,Dell Official,4,2653,174,amazon.com,8,https://www.amazon.com/dp/OQQL2C5B7C,5,https://m.media-amazon.com/images/I/767967401.jpg,1.82 kg,4.7,23 x 10 x 5 cm,SELLER5954,2019-09-02 00:00:00.000,11%,MOD9560,Dell,Electronics,false,553489621431,false,This product exceeded my expectations!,"[{""asin"": ""05TQ0RP7WT"", ""name"": ""XPS 13 - Variant""}]","[""Standard Shipping"", ""Express Shipping""]","[""Feature 1"", ""Feature 2"", ""Feature 3""]",Standard,"{""price"": 1359.23, ""currency"": ""USD""}",SVFFJ91TVD,FEBHQCY52U,,https://www.amazon.com/dp/0CUB8HAZTU,60,false,Electronics,Laptop,151,,392,true,"[""https://m.media-amazon.com/images/I/982208745.jpg"", ""https://m.media-amazon.com/images/I/107004337.jpg"", ""https://m.media-amazon.com/images/I/718610155.jpg""]",Full specifications for Dell XPS 13 available on Amazon.,"{""initial"": 1529.17, ""final"": 1359.23}",China
2023-05-08 00:00:00.000,Microsoft Xbox Series X,Official Microsoft Store,Microsoft,The Microsoft Xbox Series X offers top-notch performance and premium design.,475.74,472.88,USD,Out of Stock,4332,"[""Electronics"", ""Gaming Consoles""]",HA0CDWEN5J,Microsoft Official,5,3521,356,amazon.com,1,https://www.amazon.com/dp/4MGJL3ZW8K,2,https://m.media-amazon.com/images/I/647202834.jpg,0.29 kg,3.1,34 x 35 x 19 cm,SELLER4249,2025-05-05 00:00:00.000,0%,MOD4121,Microsoft,Electronics,false,133852271137,false,This product exceeded my expectations!,"[{""asin"": ""J78Y0BMGWS"", ""name"": ""Xbox Series X - Variant""}]","[""Standard Shipping"", ""Express Shipping""]","[""Feature 1"", ""Feature 2"", ""Feature 3""]",Standard,"{""price"": 472.88, ""currency"": ""USD""}",CCOLI4DNDO,WT5Y1GAUAD,,https://www.amazon.com/dp/FYBRHQUP9Q,103,false,Electronics,Gaming Consoles,419,Amazon's Choice,22,true,"[""https://m.media-amazon.com/images/I/982260772.jpg"", ""https://m.media-amazon.com/images/I/486103824.jpg""]",Full specifications for Microsoft Xbox Series X available on Amazon.,"{""initial"": 475.74, ""final"": 472.88}",USA
2021-04-12 00:00:00.000,Apple MacBook Pro 14,Official Apple Store,Apple,The Apple MacBook Pro 14 offers top-notch performance and premium design.,2303.24,2190.9,USD,In Stock,234,"[""Electronics"", ""PC & Hardware"", ""Laptop""]",TFS58U6GK4,Apple Official,1,3764,437,amazon.com,7,https://www.amazon.com/dp/AJQ324S2QD,4,https://m.media-amazon.com/images/I/355800127.jpg,1.01 kg,4.3,39 x 32 x 2 cm,SELLER8317,2019-01-01 00:00:00.000,4%,MOD6715,Apple,Electronics,true,675091659464,true,This product exceeded my expectations!,"[{""asin"": ""9CL2SYNJ9K"", ""name"": ""MacBook Pro 14 - Variant""}]","[""Standard Shipping"", ""Express Shipping""]","[""Feature 1"", ""Feature 2"", ""Feature 3""]",Standard,"{""price"": 2190.9, ""currency"": ""USD""}",4PKS8ABYXV,9WSVMRW39M,,https://www.amazon.com/dp/GCAPONHO0H,202,false,Electronics,Laptop,313,,265,true,"[""https://m.media-amazon.com/images/I/103216471.jpg""]",Full specifications for Apple MacBook Pro 14 available on Amazon.,"{""initial"": 2303.24, ""final"": 2190.9}",China
2023-10-21 00:00:00.000,MSI Raider GE78,Official MSI Store,MSI,The MSI Raider GE78 offers top-notch performance and premium design.,2757.45,2644.73,USD,Limited Stock,3890,"[""Electronics"", ""PC & Hardware"", ""Laptop"", ""Gaming Laptop""]",FAJWHKRA58,MSI Official,3,3585,489,amazon.com,10,https://www.amazon.com/dp/0MEUNAPFC1,4,https://m.media-amazon.com/images/I/819457015.jpg,1.22 kg,4.4,41 x 48 x 5 cm,SELLER3474,2024-05-18 00:00:00.000,4%,MOD2421,MSI,Electronics,false,472319628444,false,This product exceeded my expectations!,"[{""asin"": ""D60C6WNL94"", ""name"": ""Raider GE78 - Variant""}]","[""Standard Shipping"", ""Express Shipping""]","[""Feature 1"", ""Feature 2"", ""Feature 3""]",Standard,"{""price"": 2644.73, ""currency"": ""USD""}",9Z7CBSKNNB,HFQGDG5YOR,,https://www.amazon.com/dp/5Z0AZNR0RF,93,true,Electronics,Gaming Laptop,864,,239,true,"[""https://m.media-amazon.com/images/I/515847828.jpg""]",Full specifications for MSI Raider GE78 available on Amazon.,"{""initial"": 2757.45, ""final"": 2644.73}",Germany
2023-07-24 00:00:00.000,Microsoft Xbox Series S,Official Microsoft Store,Microsoft,The Microsoft Xbox Series S offers top-notch performance and premium design.,313.25,266.55,USD,Limited Stock,2318,"[""Electronics"", ""Gaming Consoles""]",PE5HVEIGEY,Microsoft Official,4,4378,197,amazon.com,7,https://www.amazon.com/dp/4CDQYTOLDJ,5,https://m.media-amazon.com/images/I/932161020.jpg,1.9 kg,3.1,25 x 10 x 16 cm,SELLER2347,2020-07-26 00:00:00.000,14%,MOD2199,Microsoft,Electronics,true,970794362822,false,This product exceeded my expectations!,"[{""asin"": ""NONPUESHF6"", ""name"": ""Xbox Series S - Variant""}]","[""Standard Shipping"", ""Express Shipping""]","[""Feature 1"", ""Feature 2"", ""Feature 3""]",Standard,"{""price"": 266.55, ""currency"": ""USD""}",89Z71HFI3E,VOTR29IL38,,https://www.amazon.com/dp/1240N7NPUC,276,false,Electronics,Gaming Consoles,577,,354,true,"[""https://m.media-amazon.com/images/I/866896658.jpg""]",Full specifications for Microsoft Xbox Series S available on Amazon.,"{""initial"": 313.25, ""final"": 266.55}",Germany
2025-05-04 00:00:00.000,Dyson V15 Detect,Official Dyson Store,Dyson,The Dyson V15 Detect offers top-notch performance and premium design.,646.8,633.34,USD,Limited Stock,1678,"[""Home & Kitchen"", ""Appliances""]",GBI1PUKK3Q,Dyson Official,5,2029,252,amazon.com,2,https://www.amazon.com/dp/P891WFU66M,1,https://m.media-amazon.com/images/I/788185925.jpg,1.17 kg,4.7,34 x 15 x 15 cm,SELLER5904,2019-06-26 00:00:00.000,2%,MOD2831,Dyson,Home & Kitchen,true,487590389173,false,This product exceeded my expectations!,"[{""asin"": ""3U2Y5BGD9C"", ""name"": ""V15 Detect - Variant""}]","[""Standard Shipping"", ""Express Shipping""]","[""Feature 1"", ""Feature 2"", ""Feature 3""]",Standard,"{""price"": 633.34, ""currency"": ""USD""}",QX6RDT0B0L,LBWETMSF1Z,,https://www.amazon.com/dp/7P8IR887QK,445,false,Home & Kitchen,Appliances,79,Amazon's Choice,60,true,"[""https://m.media-amazon.com/images/I/987341494.jpg"", ""https://m.media-amazon.com/images/I/839402682.jpg""]",Full specifications for Dyson V15 Detect available on Amazon.,"{""initial"": 646.8, ""final"": 633.34}",Germany
2020-11-28 00:00:00.000,Samsung Galaxy S23,Official Samsung Store,Samsung,The Samsung Galaxy S23 offers top-notch performance and premium design.,1101.15,987.75,USD,Out of Stock,1513,"[""Electronics"", ""Mobile Phones""]",TEHCUI6PCW,Samsung Official,1,4944,200,amazon.com,6,https://www.amazon.com/dp/T0C8RV42SM,3,https://m.media-amazon.com/images/I/783251191.jpg,0.39 kg,4.0,32 x 13 x 2 cm,SELLER5696,2023-10-20 00:00:00.000,10%,MOD1739,Samsung,Electronics,true,965305885425,true,This product exceeded my expectations!,"[{""asin"": ""WZIK3UBG08"", ""name"": ""Galaxy S23 - Variant""}]","[""Standard Shipping"", ""Express Shipping""]","[""Feature 1"", ""Feature 2"", ""Feature 3""]",Standard,"{""price"": 987.75, ""currency"": ""USD""}",DKFWPTXO3A,HSEW3YKYYY,,https://www.amazon.com/dp/SOJL8CDCU4,201,true,Electronics,Mobile Phones,839,Best Seller,211,false,"[""https://m.media-amazon.com/images/I/941286422.jpg""]",Full specifications for Samsung Galaxy S23 available on Amazon.,"{""initial"": 1101.15, ""final"": 987.75}",Germany
2022-03-17 00:00:00.000,Asus ROG Strix Scar 15,Official Asus ROG Store,Asus ROG,The Asus ROG Strix Scar 15 offers top-notch performance and premium design.,2273.1,2076.44,USD,In Stock,4989,"[""Electronics"", ""PC & Hardware"", ""Laptop"", ""Gaming Laptop""]",TVG91QKUSL,Asus ROG Official,4,3006,467,amazon.com,6,https://www.amazon.com/dp/QL769J3J4W,1,https://m.media-amazon.com/images/I/506981151.jpg,0.96 kg,3.9,10 x 23 x 12 cm,SELLER7086,2021-09-20 00:00:00.000,8%,MOD5403,Asus ROG,Electronics,false,179726970575,false,This product exceeded my expectations!,"[{""asin"": ""ZV7AR8MN75"", ""name"": ""Strix Scar 15 - Variant""}]","[""Standard Shipping"", ""Express Shipping""]","[""Feature 1"", ""Feature 2"", ""Feature 3""]",Standard,"{""price"": 2076.44, ""currency"": ""USD""}",6IU14EU6K4,YSVTV1RBYV,,https://www.amazon.com/dp/2RZLIKCU8N,480,false,Electronics,Gaming Laptop,64,,297,false,"[""https://m.media-amazon.com/images/I/327946511.jpg""]",Full specifications for Asus ROG Strix Scar 15 available on Amazon.,"{""initial"": 2273.1, ""final"": 2076.44}",USA
