brand,category,categories,title,description,asin,model_number,upc,initial_price,final_price,buybox_price,number_of_sellers,specifications
MSI,Gaming Laptop,"[""Electronics"",""Computers"",""Laptops"",""Gaming Laptop""]","MSI Raider GE78 HX 14V","Flagship gaming laptop with desktop-class CPU performance and RTX 4090 graphics for extreme workloads and 4K gaming.","MSIGE7814V001","GE78HX-14V-001","890123450018",2399.99,2699.99,2599.99,18,"[{""key"":""CPU"",""value"":""Intel Core i9-14900HX""},{""key"":""GPU"",""value"":""NVIDIA RTX 4090 Laptop GPU""},{""key"":""RAM"",""value"":""64GB DDR5""},{""key"":""Storage"",""value"":""2TB NVMe PCIe 4.0 SSD""},{""key"":""Display"",""value"":""17-inch QHD+ 240Hz""}]"
Apple,Smartphone,"[""Electronics"",""Phones"",""Smartphones"",""Flagship Phone""]","Apple iPhone 17 Pro","Latest-generation iPhone with A19 Pro chip, improved thermal design, and advanced computational photography.","APPIP17001","A3290","890123450019",1099.99,1199.99,1149.99,21,"[{""key"":""Display"",""value"":""6.3-inch OLED 120Hz ProMotion""},{""key"":""Chip"",""value"":""Apple A19 Pro""},{""key"":""Storage"",""value"":""256GB""},{""key"":""Camera"",""value"":""48MP Triple Camera System""},{""key"":""Battery"",""value"":""Improved all-day battery life""}]"
Samsung,Smartphone,"[""Electronics"",""Phones"",""Smartphones"",""Flagship Phone""]","Samsung Galaxy S25 Ultra 5G","Ultra-premium Android phone with S-Pen support, AI-enhanced camera system and titanium frame.","SAMGS25002","SM-S938B","890123450020",1199.99,1349.99,1299.99,23,"[{""key"":""Display"",""value"":""6.9-inch Dynamic AMOLED 144Hz""},{""key"":""Chip"",""value"":""Snapdragon 8 Gen 4 Elite""},{""key"":""Storage"",""value"":""512GB""},{""key"":""Camera"",""value"":""200MP Quad Camera with AI Zoom""},{""key"":""Build"",""value"":""Titanium Frame""}]"
NVIDIA,GPU,"[""Electronics"",""Components"",""Graphics Cards"",""GPU""]","NVIDIA GeForce RTX 5090 Founders Edition","Next-gen flagship GPU designed for extreme 8K gaming, AI workloads, and rendering.","NVIDRTX509001","RTX-5090-FE","890123450021",1999.99,2399.99,2249.99,27,"[{""key"":""VRAM"",""value"":""32GB GDDR7""},{""key"":""CUDA Cores"",""value"":""21760""},{""key"":""Boost Clock"",""value"":""2650 MHz""},{""key"":""Interface"",""value"":""PCIe 5.0 x16""},{""key"":""Power"",""value"":""600W TGP""}]"
AMD,CPU,"[""Electronics"",""Components"",""Processors"",""CPU""]","AMD Ryzen 9 9950X3D","High-end Zen 5 processor with 3D V-Cache optimized for gaming and productivity.","AMDR99950X3D01","100-1000000001","890123450022",799.99,899.99,859.99,19,"[{""key"":""Cores"",""value"":""16""},{""key"":""Threads"",""value"":""32""},{""key"":""Architecture"",""value"":""Zen 5""},{""key"":""Boost Clock"",""value"":""5.8 GHz""},{""key"":""Cache"",""value"":""128MB 3D V-Cache""}]"
Intel,CPU,"[""Electronics"",""Components"",""Processors"",""CPU""]","Intel Core Ultra 9 285K","Flagship desktop CPU built for AI acceleration, gaming, and content creation.","INTUL9285K01","BX80715285K","890123450023",649.99,729.99,699.99,16,"[{""key"":""Cores"",""value"":""24 (8P+16E)""},{""key"":""Threads"",""value"":""32""},{""key"":""Base Clock"",""value"":""3.7 GHz""},{""key"":""AI Engine"",""value"":""Integrated NPU""},{""key"":""Socket"",""value"":""LGA1851""}]"
Corsair,RAM,"[""Electronics"",""Components"",""Memory"",""RAM""]","Corsair Vengeance DDR5 64GB 6000MHz","High-performance DDR5 memory kit optimized for gaming and workstation builds.","CORVEND564001","CMK64GX5M2B6000C30","890123450024",219.99,259.99,239.99,24,"[{""key"":""Capacity"",""value"":""64GB (2x32GB)""},{""key"":""Speed"",""value"":""6000MHz""},{""key"":""Type"",""value"":""DDR5""},{""key"":""Latency"",""value"":""CL30""}]"
Samsung,SSD,"[""Electronics"",""Components"",""Storage"",""SSD""]","Samsung 990 Pro 2TB NVMe SSD","Ultra-fast PCIe 4.0 SSD for gaming and professional workloads.","SAMSSD990P01","MZ-V9P2T0BW","890123450025",179.99,209.99,194.99,22,"[{""key"":""Capacity"",""value"":""2TB""},{""key"":""Interface"",""value"":""PCIe 4.0 x4""},{""key"":""Read Speed"",""value"":""7450 MB/s""},{""key"":""Write Speed"",""value"":""6900 MB/s""}]"
Sony,Console,"[""Electronics"",""Gaming"",""Consoles"",""Home Console""]","Sony PlayStation 5 Pro","Enhanced PS5 model with upgraded GPU for 4K/8K gaming and improved ray tracing.","SONYPS5PRO01","CFI-7020","890123450026",599.99,699.99,649.99,30,"[{""key"":""CPU"",""value"":""AMD Zen 2 Custom""},{""key"":""GPU"",""value"":""RDNA 3 Custom GPU""},{""key"":""Storage"",""value"":""2TB SSD""},{""key"":""Resolution"",""value"":""Up to 8K Support""}]"
Logitech,Peripheral,"[""Electronics"",""Accessories"",""Peripherals"",""Mouse""]","Logitech G Pro X Superlight 2","Ultra-lightweight esports mouse designed for competitive gaming.","LOGGPXSL2001","910-006984","890123450027",129.99,149.99,139.99,28,"[{""key"":""Sensor"",""value"":""HERO 2""},{""key"":""Weight"",""value"":""60g""},{""key"":""Battery"",""value"":""95 hours""},{""key"":""Connectivity"",""value"":""Wireless Lightspeed""}]"
